name,gross_return,trades,position_size
sma24/168 tp=0.5% 1h,-0.987491,13568,1.0
sma24/168 tp=2% 1h,0.168438,3674,1.0
sma24/168 tp=3% 1h,0.835157,2021,1.0
sma24/168 tp=6% 1h,1.84944,786,1.0
sma24/168 tp=10% 1h,3.63996,456,1.0
sma24/168 tp=4% 1D,0.044759,496,1.0
sma24/168 tp=8% 4h,1.88281,355,1.0
sma24/168 tp=3% 1h @ 20% size,0.21850114,2021,0.2
