timestamp,open,high,low,close,volume
1567566000,10525.03,10650.0,10493.97,10604.74,1344.054449
1567569600,10603.92,10641.88,10557.99,10577.71,1122.506127
1567573200,10578.58,10597.18,10531.82,10560.99,869.732162
1567576800,10559.21,10612.97,10558.48,10571.26,807.384614
1567580400,10572.62,10592.19,10531.02,10568.0,886.512133
1567584000,10569.1,10578.86,10451.13,10502.99,1995.436377
1567587600,10504.0,10538.36,10485.51,10498.27,1090.780355
1567591200,10498.23,10574.0,10458.06,10550.0,1386.064068
1567594800,10552.63,10569.56,10500.0,10523.84,1090.758751
1567598400,10520.96,10535.0,10466.27,10476.4,1296.947006
1567602000,10475.01,10476.4,10369.89,10401.7,3922.419301
1567605600,10401.68,10459.02,10387.8,10396.77,1914.59335
1567609200,10394.98,10444.0,10380.86,10406.6,1404.317981
1567612800,10406.69,10583.49,10405.0,10552.2,3006.311117
1567616400,10552.2,10650.0,10538.44,10627.82,2754.009046
1567620000,10626.81,10642.02,10574.28,10583.16,1981.258332
1567623600,10582.42,10712.0,10580.62,10695.23,2481.640884
1567627200,10698.81,10799.0,10551.0,10594.31,4630.475722
1567630800,10594.29,10642.98,10580.0,10637.01,965.570835
1567634400,10637.03,10669.99,10485.07,10549.59,1922.109823
1567638000,10547.96,10585.07,10510.89,10567.02,1554.364686
1567641600,10565.92,10575.2,10487.16,10508.55,2093.309683
1567645200,10509.03,10554.82,10494.3,10532.98,926.797493
1567648800,10532.98,10558.88,10502.73,10535.96,815.013542
1567652400,10537.09,10563.25,10490.0,10550.37,1067.493568
1567656000,10550.0,10608.69,10539.32,10572.43,1105.94671
1567659600,10572.43,10636.95,10551.0,10602.85,1102.853904
1567663200,10601.13,10626.84,10511.0,10521.89,1978.145689
1567666800,10524.22,10557.12,10516.8,10541.35,933.73086
1567670400,10540.99,10612.01,10502.0,10575.65,2024.141928
1567674000,10576.93,10610.0,10541.4,10557.98,1788.323769
1567677600,10558.52,10648.0,10450.0,10605.57,3844.767915
1567681200,10604.98,10619.98,10550.0,10568.1,1324.235127
1567684800,10567.51,10584.44,10511.0,10557.24,1202.393885
1567688400,10559.13,10594.0,10534.7,10590.21,828.695463
1567692000,10590.04,10592.13,10520.0,10538.15,865.590145
1567695600,10538.11,10562.0,10520.0,10541.22,807.282917
1567699200,10541.22,10595.0,10480.0,10517.29,1600.452176
1567702800,10519.52,10533.94,10470.51,10495.11,1466.04818
1567706400,10495.66,10552.0,10472.53,10533.45,846.232372
1567710000,10535.01,10900.0,10461.37,10533.0,3735.959136
1567713600,10532.94,10587.0,10500.01,10506.83,1267.072459
1567717200,10506.63,10560.0,10491.36,10545.99,680.889907
1567720800,10546.01,10585.14,10526.98,10572.2,607.870066
1567724400,10572.67,10607.69,10555.0,10564.49,1057.713745
1567728000,10563.13,10598.8,10555.0,10570.6,715.594008
1567731600,10570.6,10605.0,10565.55,10583.35,746.05628
1567735200,10580.19,10668.0,10548.51,10640.01,3997.39952
1567738800,10640.32,10698.0,10638.0,10639.64,2407.310662
1567742400,10639.61,10719.0,10637.11,10691.3,1732.193137
1567746000,10693.58,10777.01,10663.71,10688.88,2941.842472
1567749600,10688.45,10729.0,10664.63,10710.0,2019.676854
1567753200,10710.82,10722.28,10682.7,10716.51,2003.392493
1567756800,10715.87,10767.22,10674.0,10703.23,1816.641423
1567760400,10704.16,10720.0,10675.12,10712.87,888.360928
1567764000,10714.1,10765.0,10710.0,10723.09,1545.397852
1567767600,10721.09,10880.0,10710.0,10834.87,4561.758105
1567771200,10834.37,10905.87,10806.79,10821.0,2616.525652
1567774800,10822.29,10853.51,10666.0,10788.86,2606.475284
1567778400,10788.82,10852.3,10786.05,10820.99,1919.299725
1567782000,10822.22,10876.0,10818.57,10843.0,1311.459199
1567785600,10843.13,10857.84,10816.0,10851.62,806.857692
1567789200,10852.18,10855.38,10293.34,10426.51,10639.856735
1567792800,10426.33,10442.22,10333.42,10357.01,3654.709039
1567796400,10356.42,10408.56,10333.0,10372.75,1493.804551
1567800000,10374.17,10376.21,10150.0,10355.21,4383.593381
1567803600,10356.74,10415.25,10283.75,10406.71,1510.225753
1567807200,10406.15,10406.69,10301.32,10326.12,1019.786542
1567810800,10326.12,10349.88,10266.76,10298.73,1461.423672
1567814400,10298.71,10354.94,10288.57,10330.6,996.536343
1567818000,10331.65,10380.81,10319.47,10359.72,1177.119638
1567821600,10360.95,10375.0,10318.0,10334.88,731.808975
1567825200,10334.88,10347.94,10320.87,10333.84,520.534761
1567828800,10334.63,10354.33,10301.11,10346.24,546.970628
1567832400,10346.53,10360.86,10331.72,10360.86,595.164614
1567836000,10360.85,10363.6,10326.97,10330.85,649.586224
1567839600,10328.96,10394.29,10319.15,10365.51,1180.043874
1567843200,10366.24,10408.84,10363.23,10384.78,2046.01626
1567846800,10384.78,10385.0,10357.37,10380.73,805.603622
1567850400,10380.02,10476.06,10329.86,10369.02,1822.034202
1567854000,10369.0,10419.32,10366.43,10417.1,1370.848784
1567857600,10417.12,10430.0,10367.75,10371.84,1011.063052
1567861200,10370.01,10391.04,10369.5,10374.14,597.81599
1567864800,10373.58,10422.69,10372.45,10403.2,778.814268
1567868400,10403.17,10469.86,10400.62,10455.64,1654.84959
1567872000,10455.02,10556.0,10355.0,10510.94,4073.032793
1567875600,10508.96,10558.0,10416.0,10479.2,3226.930693
1567879200,10478.8,10509.92,10447.04,10456.47,889.682576
1567882800,10456.47,10499.99,10420.0,10465.72,736.926317
1567886400,10465.76,10490.0,10452.0,10488.84,537.816
1567890000,10488.9,10533.33,10450.31,10501.57,724.165313
1567893600,10500.03,10510.0,10451.0,10473.32,518.19289
1567897200,10475.43,10480.89,10450.0,10455.88,446.319985
1567900800,10455.9,10501.0,10452.01,10496.42,324.714955
1567904400,10495.8,10515.0,10478.02,10483.02,354.601614
1567908000,10487.17,10497.45,10455.7,10457.94,301.932643
1567911600,10459.25,10559.01,10455.79,10541.4,1501.020371
