experiment,promising_metric,promising_value,final_net_ev_bps,wf_positive,wf_total,cross_asset_positive,cross_asset_total,decision
Selective ML,UP precision,66.21,-9.19,2,5,,,classification lift did not survive costs
Order-book magnitude gate,ROC-AUC improvement,0.027,-21.71,,,0,17,magnitude information did not supply direction
Lagged macro regime,net EV improvement bps,4.26,-4.19,1,3,,,a smaller loss was still a loss
Bitcoin network state,direction ROC-AUC change,-0.0136,-6.50,0,3,,,daily state was too slow for four-hour timing
